Order,Family,Genus/Species,BM,AD,MRS,ACT
Artiodactyla,Bovidae,Aepyceros melampus,50,27.4,47,c
Artiodactyla,Bovidae,Alcelaphus buselaphus,170,32.8,80,c
Artiodactyla,Bovidae,Antilope cervicapra,37,28,105,c
Artiodactyla,Bovidae,Bison bison,865,36.8,56,c
Artiodactyla,Bovidae,Connochaetes gnou,300,26.5,90,c
Artiodactyla,Bovidae,Hippotragus equinus,250,21.6,56,c
Artiodactyla,Bovidae,Taurotragus oryx,900,47.7,70,c
Artiodactyla,Cervidae,Alces alces,450,36.6,56,c
Artiodactyla,Cervidae,Cervus elaphus,300,34.4,72,c
Artiodactyla,Cervidae,Dama dama,80,34,65,c
Artiodactyla,Cervidae,Odocoileus hemionus,120,26.8,61,c
Artiodactyla,Cervidae,Odocoileus virginianus,100,27,64,c
Artiodactyla,Giraffidae,Giraffa camelopardalis,1000,42,60,c
Carnivora,Canidae,Canis lupus,40,22.5,64,c
Carnivora,Canidae,Urocyon cinereoargenteus,5,17.4,64,c
Carnivora,Canidae,Vulpes vulpes,5.1,20.1,42,n
Carnivora,Felidae,Acinonyx jubatus,55,36.7,110,d
Carnivora,Felidae,Panthera leo,155.8,36.9,59,c
Carnivora,Felidae,Panthera tigris,230,35,56,c
Carnivora,Hyaenidae,Crocuta crocuta,65,25.4,65,n
Carnivora,Mustelidae,Meles meles,11,8.9,30,n
Carnivora,Procyonidae,Procyon lotor,12,13.4,24,n
Carnivora,Ursidae,Ursus americanus,135,18.5,48,c
Carnivora,Ursidae,Ursus arctos,251.3,18,47,c
Dasyuromorphia,Dasyuridae,Dasyurus viverrinus,1.12,10.6,16,n
Didelphimorphia,Didelphidae,Didelphis marsupialis,5,8.7,7.4,n
Didelphimorphia,Didelphidae,Didelphis virginiana,3.75,9.7,10.2,n
Diprotodontia,Potoroidae,Bettongia penicillata,1.1,13.7,20.9,n
Lagomorpha,Leporidae,Lepus californicus,2,18.7,64,c
Lagomorpha,Leporidae,Sylvilagus audubonii,1.5,14.9,40,c
Perissodactyla,Equidae,Diceros bicornis,1400,27.6,45,c
Perissodactyla,Equidae,Equus burchellii,400,42,70,c
Perissodactyla,Equidae,Equus caballus,350,41.3,70,c
Perissodactyla,Equidae,Equus zebra,300,41.5,64,c
Primates,Cebidae,Cebus capucinus,3.34,16,9,d
Primates,Cercopithecidae,Erythrocebus patas,9.5,22.5,55,d
Primates,Hominidae,Gorilla gorilla,127,23,32,d
Proboscidea,Elephantidae,Elephas maximus,4000,30,26,c
Proboscidea,Elephantidae,Loxodonta africana,6000,39.6,35,c
Rodentia,Cricetidae,Microtus pennsylvanicus,0.05,3.4,11,c
Rodentia,Cricetidae,Peromyscus maniculatus,0.03,4.9,9.1,n
Rodentia,Dipodidae,Zapus hudsonius,0.018,3.4,8.9,c
Rodentia,Erethizontidae,Erethizon dorsatum,9,10.3,3.2,c
Rodentia,Gliridae,Myoxus glis,0.09,7.3,10,c
Rodentia,Muridae,Rattus rattus,0.25,6.3,9.7,n
Rodentia,Sciuridae,Marmota monax,4,12.1,16,d
Rodentia,Sciuridae,Sciurus carolinensis,0.55,11.8,27,d
Rodentia,Sciuridae,Sciurus niger,1.1,12,24,d
Rodentia,Sciuridae,Tamias striatus,0.1,7.1,17,d
Rodentia,Sciuridae,Tamiasciurus hudsonicus,0.22,8.7,15,d
